0,1,2
"34.19492,-84.144322",2020-03-01,47
"34.377334999999995,-83.186079",2020-03-01,46
"33.836086,-84.39364499999999",2020-03-01,51
"34.677248999999996,-84.483646",2020-03-01,49
"33.235927000000004,-82.609847",2020-03-01,48
"31.202697999999998,-81.486488",2020-03-01,51
"34.498326,-84.908795",2020-03-01,47
"30.882764,-84.214288",2020-03-01,55
"33.549876,-83.166093",2020-03-01,48
"33.951956,-84.057963",2020-03-01,48
"34.56516,-83.54162600000001",2020-03-01,47
"34.275205,-83.844712",2020-03-01,47
"33.255825,-83.00204699999999",2020-03-01,48
"33.76192,-85.18547",2020-03-01,48
"32.699933,-84.895034",2020-03-01,52
"34.355413,-82.96495300000001",2020-03-01,46
"33.309334,-85.1134",2020-03-01,50
"33.475842,-84.175416",2020-03-01,50
"32.571603,-83.66335699999999",2020-03-01,51
"31.604646999999996,-83.280834",2020-03-01,52
"34.132059000000005,-83.584805",2020-03-01,48
"33.356251,-83.72434100000001",2020-03-01,49
"31.848776,-82.600696",2020-03-01,51
"33.063551000000004,-82.407657",2020-03-01,48
"32.794618,-81.950133",2020-03-01,48
"32.701199,-82.679535",2020-03-01,49
"32.962134000000006,-83.54514",2020-03-01,49
"33.080020000000005,-84.1544",2020-03-01,50
"31.035393,-83.090886",2020-03-01,54
"32.516487,-82.92613100000001",2020-03-01,50
"31.681194,-84.173396",2020-03-01,53
"31.827765999999997,-81.578482",2020-03-01,53
"33.781126,-82.44638",2020-03-01,46
"31.778807,-81.733663",2020-03-01,52
"30.857006,-83.280221",2020-03-01,53
"34.524951,-83.986879",2020-03-01,46
"33.459617,-82.46986600000001",2020-03-01,47
"31.47526,-81.407579",2020-03-01,51
"32.325041999999996,-84.038814",2020-03-01,51
"34.104614,-83.24068",2020-03-01,47
"32.380907,-84.523557",2020-03-01,52
"33.008863,-84.67284599999999",2020-03-01,50
"31.159722,-84.73719799999999",2020-03-01,55
"31.216853000000004,-84.172094",2020-03-01,54
"33.038194,-83.906823",2020-03-01,50
"32.167319,-82.533261",2020-03-01,50
"33.600243,-83.485957",2020-03-01,48
"34.782329,-84.792066",2020-03-01,46
"32.492289,-84.930634",2020-03-01,52
"33.569520000000004,-83.896609",2020-03-01,49
"33.875278,-83.45794599999999",2020-03-01,48
"33.916594,-83.14492",2020-03-01,47
"33.905688,-84.816609",2020-03-01,49
"32.584826,-83.82958",2020-03-01,51
"34.455892,-84.442301",2020-03-01,49
"31.314668,-82.240429",2020-03-01,53
