0,1,2
"41.6434,-85.0025",2020-12-01,32
"42.0417,-92.9815",2020-12-01,29
"43.0759,-94.6673",2020-12-01,29
"42.3932,-96.0533",2020-12-01,33
"38.0499,-100.7399",2020-12-01,44
"39.7767,-97.0956",2020-12-01,37
"38.2899,-84.5794",2020-12-01,29
"37.52,-87.6851",2020-12-01,32
"32.7302,-91.2341",2020-12-01,42
"39.5299,-79.2694",2020-12-01,27
"39.2392,-76.1242",2020-12-01,45
"38.8259,-76.8473",2020-12-01,44
"41.9872,-70.7419",2020-12-01,57
"42.332,-71.0202",2020-12-01,57
"44.7237,-94.9556",2020-12-01,28
"40.4073,-91.7295",2020-12-01,31
"40.2094,-94.4041",2020-12-01,35
"39.4983,-92.0065",2020-12-01,33
"37.7111,-89.8021",2020-12-01,35
"46.1617,-106.70200000000001",2020-12-01,33
"42.5071,-102.3897",2020-12-01,36
"38.9051,-119.609",2020-12-01,37
"39.9002,-117.0472",2020-12-01,34
"33.9018,-108.3921",2020-12-01,36
"32.7957,-103.4133",2020-12-01,52
"36.4894,-81.1323",2020-12-01,28
"36.1317,-80.2573",2020-12-01,38
"35.2933,-81.1773",2020-12-01,38
"35.7898,-78.6506",2020-12-01,43
"47.0093,-103.3649",2020-12-01,33
"48.7684,-98.4638",2020-12-01,29
"47.1181,-101.3314",2020-12-01,32
"41.9241,-81.3926",2020-12-01,33
"39.7672,-81.4526",2020-12-01,30
"40.8297,-81.8872",2020-12-01,28
"35.9077,-96.3798",2020-12-01,43
"44.4963,-119.0141",2020-12-01,29
"40.7037,-76.2178",2020-12-01,36
"40.9622,-77.0555",2020-12-01,37
"44.8964,-103.5018",2020-12-01,34
"43.2082,-100.7172",2020-12-01,39
"35.654,-88.3877",2020-12-01,35
"32.7419,-101.9473",2020-12-01,50
"30.5432,-95.9881",2020-12-01,46
"32.3036,-101.4385",2020-12-01,51
"29.3826,-96.9236",2020-12-01,48
"33.1165,-94.7313",2020-12-01,43
"30.8962,-100.5272",2020-12-01,46
"41.037,-112.2021",2020-12-01,32
"44.4607,-73.0705",2020-12-01,50
"38.1678,-79.1467",2020-12-01,35
"37.8306,-78.2844",2020-12-01,40
"36.6802,-77.5603",2020-12-01,44
"39.0811,-77.6389",2020-12-01,40
"37.3026,-75.9239",2020-12-01,47
"36.7128,-82.6136",2020-12-01,28
"36.6835,-79.8636",2020-12-01,38
"48.0549,-121.7664",2020-12-01,37
"38.8342,-81.6777",2020-12-01,31
"39.3291,-80.0456",2020-12-01,30
"45.2117,-90.5049",2020-12-01,25
"42.1303,-104.9608",2020-12-01,34
"32.5364,-86.6445",2020-12-01,40
"33.9774,-86.5672",2020-12-01,36
"34.4609,-85.804",2020-12-01,33
"63.865,-143.2186",2020-12-01,-0
"33.8932,-92.1887",2020-12-01,43
"33.6667,-93.3051",2020-12-01,43
"35.9097,-92.6994",2020-12-01,42
"35.857,-92.1405",2020-12-01,40
"39.666,-121.6019",2020-12-01,54
"29.6757,-82.3572",2020-12-01,44
"30.2376,-85.6313",2020-12-01,44
"26.1187,-81.4009",2020-12-01,57
"30.6059,-81.7649",2020-12-01,44
"28.7143,-82.0747",2020-12-01,47
"31.2743,-83.2319",2020-12-01,40
"44.2181,-111.4844",2020-12-01,15
"43.761,-111.2118",2020-12-01,16
"41.8521,-88.086",2020-12-01,31
"39.3554,-90.3878",2020-12-01,31
"40.0226,-89.7941",2020-12-01,30
"37.2156,-89.1278",2020-12-01,35
"37.4751,-89.2529",2020-12-01,33
"38.1864,-86.1037",2020-12-01,31
"39.783,-86.1358",2020-12-01,30
"40.1644,-85.005",2020-12-01,28
"40.8437,-85.7952",2020-12-01,30
"41.3338,-94.9333",2020-12-01,34
"43.3785,-95.6338",2020-12-01,31
"37.1694,-94.8457",2020-12-01,40
"37.2338,-99.8139",2020-12-01,45
"39.0473,-98.2143",2020-12-01,40
"39.8289,-97.6509",2020-12-01,36
"38.946999999999996,-84.3796",2020-12-01,30
"38.6683,-85.1241",2020-12-01,29
"37.2095,-88.3634",2020-12-01,33
"37.2413,-83.2178",2020-12-01,29
"38.5138,-84.0638",2020-12-01,29
"30.6527,-92.8196",2020-12-01,44
"30.7207,-92.4041",2020-12-01,45
"31.1106,-93.1815",2020-12-01,44
"45.9177,-69.1045",2020-12-01,55
"44.3254,-85.0855",2020-12-01,30
"43.6773,-92.0937",2020-12-01,26
"45.5896,-95.4467",2020-12-01,28
"32.8925,-90.8274",2020-12-01,42
"33.9559,-90.1728",2020-12-01,40
"37.6597,-92.5948",2020-12-01,38
"38.6407,-90.446",2020-12-01,37
"46.3806,-109.1746",2020-12-01,29
"42.8944,-98.773",2020-12-01,37
"41.6594,-102.3282",2020-12-01,36
"40.3955,-96.2686",2020-12-01,36
"36.613,-104.6401",2020-12-01,33
"42.2449,-78.681",2020-12-01,32
"43.0009,-78.1928",2020-12-01,35
"42.7104,-73.5138",2020-12-01,47
"40.9436,-72.6922",2020-12-01,53
"42.4533,-76.4737",2020-12-01,39
"34.7635,-77.5033",2020-12-01,45
"35.2789,-82.1677",2020-12-01,37
"35.2101,-82.8167",2020-12-01,30
"46.4642,-98.5261",2020-12-01,31
"40.7685,-80.7772",2020-12-01,30
"38.817,-82.3017",2020-12-01,31
"40.0567,-81.4979",2020-12-01,30
"40.5353,-84.6321",2020-12-01,30
"34.7094,-97.3127",2020-12-01,43
"35.6176,-95.3839",2020-12-01,42
"36.7651,-98.869",2020-12-01,44
"44.1631,-120.3716",2020-12-01,29
"43.9151,-121.2256",2020-12-01,32
"44.4948,-122.5438",2020-12-01,40
"45.3992,-120.6785",2020-12-01,38
"45.7371,-97.5809",2020-12-01,30
"44.6068,-102.7159",2020-12-01,33
"35.7375,-84.3162",2020-12-01,33
"35.1838,-89.8954",2020-12-01,40
"28.1042,-96.978",2020-12-01,57
"29.809,-103.2525",2020-12-01,49
"33.1939,-96.5782",2020-12-01,45
"34.9408,-102.6076",2020-12-01,44
"28.8693,-99.1088",2020-12-01,49
"28.6607,-97.4304",2020-12-01,50
"35.8162,-100.2848",2020-12-01,43
"36.2787,-100.8159",2020-12-01,43
"31.4016,-100.4614",2020-12-01,49
"36.7645,-77.8609",2020-12-01,42
"36.6563,-81.2253",2020-12-01,28
"36.617,-82.1576",2020-12-01,28
"39.4056,-78.9566",2020-12-01,34
"38.5105,-81.9061",2020-12-01,31
"37.6037,-81.5489",2020-12-01,26
"42.6556,-90.1303",2020-12-01,28
"43.3762,-90.4357",2020-12-01,28
"43.746,-87.7305",2020-12-01,33
"31.7328,-86.3192",2020-12-01,40
"32.6041,-85.353",2020-12-01,39
"59.0999,-135.5781",2020-12-01,33
"36.3673,-90.4187",2020-12-01,37
"33.2151,-93.2269",2020-12-01,43
"35.8283,-90.6304",2020-12-01,38
"36.1734,-91.4711",2020-12-01,39
